answer_uri,display_label,reference_search_scope,original_candidate_count,forced_pool_size,top_limit,rescue_limit,actual_pool_candidate_count,evidence_rescue_count,reference_policy,pool_policy_reached,reference_distractor_ranks,pool_distractor_ranks,reference_rationale_facts,pool_rationale_facts,same_distractor_selection,same_rationale,same_policy,global_optimality_claim,pool_optimality_claim
http://dbpedia.org/resource/Carbon,Carbon,FULL_EXACT,49,75,57,18,49,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,True,True,True,False,True
http://dbpedia.org/resource/Carbon,Carbon,FULL_EXACT,49,100,75,25,49,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,True,True,True,False,True
http://dbpedia.org/resource/Eisaku_Satō,Eisaku Satō,FULL_EXACT,24,25,19,6,24,5,main-l1,main-l1,1|5|6,1|5|6,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,True,True,True,False,True
http://dbpedia.org/resource/Eisaku_Satō,Eisaku Satō,FULL_EXACT,24,50,38,12,24,0,main-l1,main-l1,1|5|6,1|5|6,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,True,True,True,False,True
http://dbpedia.org/resource/Eisaku_Satō,Eisaku Satō,FULL_EXACT,24,75,57,18,24,0,main-l1,main-l1,1|5|6,1|5|6,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,True,True,True,False,True
http://dbpedia.org/resource/Eisaku_Satō,Eisaku Satō,FULL_EXACT,24,100,75,25,24,0,main-l1,main-l1,1|5|6,1|5|6,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,True,True,True,False,True
http://dbpedia.org/resource/Plato,Plato,FULL_EXACT,27,25,19,6,25,6,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,True,True,True,False,True
http://dbpedia.org/resource/Plato,Plato,FULL_EXACT,27,50,38,12,27,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,True,True,True,False,True
http://dbpedia.org/resource/Plato,Plato,FULL_EXACT,27,75,57,18,27,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,True,True,True,False,True
http://dbpedia.org/resource/Plato,Plato,FULL_EXACT,27,100,75,25,27,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,True,True,True,False,True
http://dbpedia.org/resource/Shin'ichirō_Tomonaga,Shin'ichirō Tomonaga,FULL_EXACT,24,25,19,6,24,5,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,True,True,True,False,True
http://dbpedia.org/resource/Shin'ichirō_Tomonaga,Shin'ichirō Tomonaga,FULL_EXACT,24,50,38,12,24,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,True,True,True,False,True
http://dbpedia.org/resource/Shin'ichirō_Tomonaga,Shin'ichirō Tomonaga,FULL_EXACT,24,75,57,18,24,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,True,True,True,False,True
http://dbpedia.org/resource/Shin'ichirō_Tomonaga,Shin'ichirō Tomonaga,FULL_EXACT,24,100,75,25,24,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,True,True,True,False,True
http://dbpedia.org/resource/Shinya_Yamanaka,Shinya Yamanaka,FULL_EXACT,24,25,19,6,24,5,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,True,True,True,False,True
http://dbpedia.org/resource/Shinya_Yamanaka,Shinya Yamanaka,FULL_EXACT,24,50,38,12,24,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,True,True,True,False,True
http://dbpedia.org/resource/Shinya_Yamanaka,Shinya Yamanaka,FULL_EXACT,24,75,57,18,24,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,True,True,True,False,True
http://dbpedia.org/resource/Shinya_Yamanaka,Shinya Yamanaka,FULL_EXACT,24,100,75,25,24,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,True,True,True,False,True
http://dbpedia.org/resource/Silicon,Silicon,FULL_EXACT,11,25,19,6,11,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,True,True,True,False,True
http://dbpedia.org/resource/Silicon,Silicon,FULL_EXACT,11,50,38,12,11,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,True,True,True,False,True
http://dbpedia.org/resource/Silicon,Silicon,FULL_EXACT,11,75,57,18,11,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,True,True,True,False,True
http://dbpedia.org/resource/Silicon,Silicon,FULL_EXACT,11,100,75,25,11,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,True,True,True,False,True
